text,size,topic
nl.jteam.search.solrext.spatial.spatialqparserplugin,2895.0,6
init,1941.0,6
spatialqparser,1938.0,6
spatialqparserplugin.java,1891.0,6
org.apache.solr.handler.component.querycomponent.prepare(querycomponent.java,1181.0,6
org.apache.solr.search.qparser.getparser(qparser.java,1137.0,6
org.apache.solr.handler.requesthandlerbase.handlerequest(requesthandlerbase.java,1115.0,6
org.mortbay.jetty.handler.contexthandlercollection.handle(contexthandlercollection.java,1109.0,6
requesthandler.headercomplete(httpconnection.java,1106.0,6
poolthread.run(boundedthreadpool.java,1105.0,6
org.mortbay.io.nio.selectchannelendpoint.run(selectchannelendpoint.java,1104.0,6
org.mortbay.jetty.servlet.servlethandler.handle(servlethandler.java,1104.0,6
org.mortbay.jetty.httpconnection.handlerequest(httpconnection.java,1103.0,6
activemq.solrtoactivemqhandler.handlerequestbody(solrtoactivemqhandler.java,1102.0,6
org.mortbay.jetty.security.securityhandler.handle(securityhandler.java,1100.0,6
org.mortbay.jetty.httpconnection,1099.0,6
org.mortbay.jetty.servlet.sessionhandler.handle(sessionhandler.java,1097.0,6
org.mortbay.jetty.webapp.webappcontext.handle(webappcontext.java,1093.0,6
org.mortbay.thread.boundedthreadpool,1092.0,6
org.mortbay.jetty.httpparser.parseavailable(httpparser.java,1089.0,6
org.mortbay.jetty.server.handle(server.java,1088.0,6
com.trulia.best.solr.handler.watchingrequesthandler.handlerequestbody(watchingrequesthandler.java,1087.0,6
org.mortbay.jetty.handler.handlerwrapper.handle(handlerwrapper.java,1082.0,6
cachedchain.dofilter(servlethandler.java,1082.0,6
org.mortbay.jetty.httpparser.parsenext(httpparser.java,1080.0,6
org.mortbay.jetty.handler.handlercollection.handle(handlercollection.java,1080.0,6
org.apache.solr.core.solrcore.execute(solrcore.java,1076.0,6
org.apache.solr.handler.component.searchhandler.handlerequestbody(searchhandler.java,1076.0,6
org.apache.solr.servlet.solrdispatchfilter.execute(solrdispatchfilter.java,1075.0,6
org.mortbay.jetty.handler.contexthandler.handle(contexthandler.java,1074.0,6
org.apache.solr.common.solrexception,1072.0,6
org.apache.solr.servlet.solrdispatchfilter.dofilter(solrdispatchfilter.java,1071.0,6
org.mortbay.jetty.httpconnection.handle(httpconnection.java,1067.0,6
org.mortbay.jetty.servlet.servlethandler,1055.0,6
com.solr,1049.0,6
polygons,1034.0,6
nl.jteam.search.solrext.spatial.spatialqparserplugin.createparser(spatialqparserplugin.java,963.0,6
spatialqparser.extractsearchareas(spatialqparserplugin.java,949.0,6
missing,902.0,6
are,902.0,6
polylines,902.0,6
or/and,902.0,6
circles,902.0,6
parameters,902.0,6
geospatial,902.0,6
required,902.0,6
org.apache.solr.handler.component.collapsecomponent.prepare(collapsecomponent.java,288.0,6
com.trulia.best.solr.handler.geohashrequesthandler.handlerequestbody(geohashrequesthandler.java,86.0,6
spatial,59.0,6
org.apache.solr.core.solrcore.getqueryplugin(solrcore.java,20.0,6
