text,size,topic
parse,3113.0,3
more,3068.0,3
cannot,1569.0,3
solrexception,1566.0,3
parseexception,1553.0,3
getnexttoken,1525.0,3
query,1522.0,3
handlerequest,1514.0,3
execute,1513.0,3
jj_ntk,1508.0,3
prepare,1507.0,3
getquery,1506.0,3
clause,1503.0,3
toplevelquery,1503.0,3
dofilter,1499.0,3
run,1499.0,3
handlerequestbody,1494.0,3
after,1430.0,3
eof,1430.0,3
encountered,1430.0,3
lot,133.0,3
west,91.0,3
ave,76.0,3
east,51.0,3
available,50.0,3
move,50.0,3
quick,50.0,3
lewis,49.0,3
lots,44.0,3
ridge,44.0,3
pkwy,42.0,3
ranch,42.0,3
hwy,35.0,3
farms,34.0,3
victoria,34.0,3
golf,32.0,3
gainey,32.0,3
tract,31.0,3
ovington,31.0,3
bay,30.0,3
rita,26.0,3
santa,26.0,3
ridges,24.0,3
hanover,22.0,3
willow,21.0,3
panhandle,20.0,3
lane,20.0,3
jj_scan_token,17.0,3
road,17.0,3
drive,17.0,3
