text,size,topic
propertyid_s,64870.0,1
and,1077.0,1
not,357.0,1
cannot,180.0,1
org.apache.lucene.queryparser.queryparser.getbooleanquery(queryparser.java,179.0,1
blocked_i,179.0,1
parse,179.0,1
rent,178.0,1
override,178.0,1
with,178.0,1
lead,178.0,1
featuredtype_s:"broker,178.0,1
rentallistingtype_s:"single_unit,178.0,1
clauses,178.0,1
boolean,178.0,1
many,178.0,1
too,178.0,1
org.apache.lucene.queryparser.queryparser.query(queryparser.java,178.0,1
org.apache.lucene.queryparser.parseexception,178.0,1
org.apache.solr.handler.component.querycomponent.prepare(querycomponent.java,178.0,1
status_s:"for,177.0,1
org.apache.lucene.queryparser.queryparser.parse(queryparser.java,177.0,1
caused,177.0,1
more,175.0,1
daysbeforestale_i,169.0,1
org.apache.solr.handler.component.collapsecomponent.prepare(collapsecomponent.java,94.0,1
org.apache.solr.handler.component.searchhandler.handlerequestbody(searchhandler.java,93.0,1
org.apache.lucene.search.booleanquery,91.0,1
org.mortbay.jetty.server.handle(server.java,91.0,1
org.mortbay.jetty.handler.contexthandler.handle(contexthandler.java,91.0,1
org.mortbay.jetty.servlet.servlethandler.handle(servlethandler.java,91.0,1
activemq.solrtoactivemqhandler.handlerequestbody(solrtoactivemqhandler.java,91.0,1
org.mortbay.jetty.handler.contexthandlercollection.handle(contexthandlercollection.java,90.0,1
org.mortbay.jetty.webapp.webappcontext.handle(webappcontext.java,90.0,1
org.apache.solr.servlet.solrdispatchfilter.execute(solrdispatchfilter.java,90.0,1
org.apache.solr.core.solrcore.execute(solrcore.java,90.0,1
com.solr,90.0,1
org.apache.lucene.search.booleanquery.add(booleanquery.java,89.0,1
set,89.0,1
maxclausecount,89.0,1
toomanyclauses,89.0,1
requesthandler.content(httpconnection.java,89.0,1
org.apache.lucene.queryparser.queryparser.toplevelquery(queryparser.java,89.0,1
org.apache.solr.search.qparser.getquery(qparser.java,89.0,1
org.apache.solr.search.luceneqparser.parse(luceneqparserplugin.java,89.0,1
poolthread.run(boundedthreadpool.java,89.0,1
org.mortbay.io.nio.selectchannelendpoint.run(selectchannelendpoint.java,89.0,1
org.mortbay.jetty.httpconnection.handle(httpconnection.java,89.0,1
org.mortbay.jetty.httpparser.parsenext(httpparser.java,88.0,1
org.mortbay.jetty.httpconnection,88.0,1
