text,size,topic
org.apache.solr.handler.component.querycomponent.prepare(querycomponent.java,1259.0,4
org.apache.lucene.queryparser.queryparser.clause(queryparser.java,1195.0,4
org.apache.lucene.queryparser.queryparser.parse(queryparser.java,1184.0,4
and,1170.0,4
org.apache.lucene.queryparser.queryparser.query(queryparser.java,1163.0,4
caused,1150.0,4
eof,1134.0,4
more,1126.0,4
column,1114.0,4
line,1109.0,4
encountered,1109.0,4
lexical,1104.0,4
after,1093.0,4
error,1087.0,4
org.apache.solr.common.solrexception,666.0,4
org.mortbay.jetty.httpparser.parseavailable(httpparser.java,639.0,4
org.mortbay.jetty.server.handle(server.java,633.0,4
org.mortbay.jetty.httpconnection.handle(httpconnection.java,631.0,4
org.apache.solr.servlet.solrdispatchfilter.dofilter(solrdispatchfilter.java,631.0,4
com.trulia.best.solr.handler.watchingrequesthandler.handlerequestbody(watchingrequesthandler.java,630.0,4
poolthread.run(boundedthreadpool.java,629.0,4
cachedchain.dofilter(servlethandler.java,629.0,4
org.mortbay.thread.boundedthreadpool,628.0,4
org.apache.solr.core.solrcore.execute(solrcore.java,628.0,4
cannot,626.0,4
org.mortbay.jetty.servlet.servlethandler.handle(servlethandler.java,626.0,4
org.mortbay.jetty.handler.handlercollection.handle(handlercollection.java,625.0,4
org.mortbay.io.nio.selectchannelendpoint.run(selectchannelendpoint.java,624.0,4
com.trulia.best.solr.handler.geohashrequesthandler.handlerequestbody(geohashrequesthandler.java,620.0,4
org.mortbay.jetty.httpparser.parsenext(httpparser.java,619.0,4
org.apache.solr.servlet.solrdispatchfilter.execute(solrdispatchfilter.java,619.0,4
org.apache.solr.handler.requesthandlerbase.handlerequest(requesthandlerbase.java,619.0,4
org.mortbay.jetty.httpconnection,618.0,4
org.mortbay.jetty.handler.contexthandler.handle(contexthandler.java,615.0,4
org.mortbay.jetty.security.securityhandler.handle(securityhandler.java,615.0,4
activemq.solrtoactivemqhandler.handlerequestbody(solrtoactivemqhandler.java,615.0,4
org.mortbay.jetty.servlet.sessionhandler.handle(sessionhandler.java,614.0,4
com.solr,614.0,4
requesthandler.headercomplete(httpconnection.java,613.0,4
org.mortbay.jetty.webapp.webappcontext.handle(webappcontext.java,613.0,4
org.apache.solr.handler.component.searchhandler.handlerequestbody(searchhandler.java,612.0,4
org.mortbay.jetty.handler.contexthandlercollection.handle(contexthandlercollection.java,609.0,4
org.apache.lucene.queryparser.queryparser.toplevelquery(queryparser.java,608.0,4
org.mortbay.jetty.servlet.servlethandler,606.0,4
org.mortbay.jetty.httpconnection.handlerequest(httpconnection.java,604.0,4
org.apache.solr.search.qparser.getquery(qparser.java,603.0,4
org.mortbay.jetty.handler.handlerwrapper.handle(handlerwrapper.java,603.0,4
java.lang.nullpointerexception,593.0,4
org.apache.solr.search.luceneqparser.parse(luceneqparserplugin.java,582.0,4
org.apache.lucene.queryparser.parseexception,569.0,4
