text,size,topic
and,14973.0,8
term,11757.0,8
expecting,5961.0,8
was,5961.0,8
number,5902.0,8
wildterm,5887.0,8
prefixterm,5887.0,8
quoted,5887.0,8
one,5887.0,8
org.apache.lucene.queryparser.parseexception,5886.0,8
bareoper,5878.0,8
not,5860.0,8
org.apache.solr.handler.component.querycomponent.prepare(querycomponent.java,5838.0,8
column,5833.0,8
org.apache.lucene.queryparser.queryparser.parse(queryparser.java,5832.0,8
more,5830.0,8
encountered,5827.0,8
line,5825.0,8
caused,5798.0,8
org.apache.lucene.queryparser.queryparser.jj_consume_token(queryparser.java,2979.0,8
org.apache.lucene.queryparser.queryparser.generateparseexception(queryparser.java,2979.0,8
cannot,2929.0,8
org.apache.lucene.queryparser.queryparser.toplevelquery(queryparser.java,2927.0,8
org.apache.solr.search.luceneqparser.parse(luceneqparserplugin.java,2914.0,8
parse,2914.0,8
org.apache.solr.search.qparser.getquery(qparser.java,2913.0,8
org.apache.solr.common.solrexception,2905.0,8
org.mortbay.jetty.httpconnection,2903.0,8
poolthread.run(boundedthreadpool.java,2894.0,8
org.mortbay.jetty.httpparser.parsenext(httpparser.java,2891.0,8
org.mortbay.jetty.httpparser.parseavailable(httpparser.java,2888.0,8
org.mortbay.jetty.servlet.sessionhandler.handle(sessionhandler.java,2888.0,8
org.apache.solr.core.solrcore.execute(solrcore.java,2888.0,8
org.apache.solr.handler.requesthandlerbase.handlerequest(requesthandlerbase.java,2888.0,8
org.mortbay.jetty.handler.handlerwrapper.handle(handlerwrapper.java,2886.0,8
org.mortbay.jetty.handler.contexthandler.handle(contexthandler.java,2886.0,8
org.mortbay.jetty.server.handle(server.java,2885.0,8
org.mortbay.thread.boundedthreadpool,2884.0,8
requesthandler.headercomplete(httpconnection.java,2884.0,8
org.mortbay.jetty.servlet.servlethandler,2882.0,8
org.apache.solr.servlet.solrdispatchfilter.dofilter(solrdispatchfilter.java,2881.0,8
org.mortbay.io.nio.selectchannelendpoint.run(selectchannelendpoint.java,2879.0,8
cachedchain.dofilter(servlethandler.java,2877.0,8
org.mortbay.jetty.handler.handlercollection.handle(handlercollection.java,2876.0,8
org.mortbay.jetty.servlet.servlethandler.handle(servlethandler.java,2876.0,8
com.solr,2875.0,8
org.mortbay.jetty.handler.contexthandlercollection.handle(contexthandlercollection.java,2872.0,8
activemq.solrtoactivemqhandler.handlerequestbody(solrtoactivemqhandler.java,2871.0,8
org.mortbay.jetty.webapp.webappcontext.handle(webappcontext.java,2869.0,8
org.mortbay.jetty.security.securityhandler.handle(securityhandler.java,2868.0,8
