text,size,topic
query,1706.0,9
clause,1527.0,9
term,1515.0,9
prepare,1498.0,9
handlerequest,1495.0,9
execute,1489.0,9
toplevelquery,1477.0,9
getquery,1473.0,9
handlerequestbody,1458.0,9
run,1442.0,9
parse,1435.0,9
numberformatexception,1350.0,9
string,1333.0,9
getfieldquery,1313.0,9
dofilter,1200.0,9
forinputstring,1199.0,9
parseint,1194.0,9
tointernal,1094.0,9
readabletoindexed,1002.0,9
specified,420.0,9
null,359.0,9
field,328.0,9
param,251.0,9
newsearcher,251.0,9
solrexception,250.0,9
runtask,238.0,9
innerrun,236.0,9
call,228.0,9
via,210.0,9
default,210.0,9
name,210.0,9
checknullfield,210.0,9
getrangequery,172.0,9
found,41.0,9
can't,41.0,9
sort,41.0,9
parsesort,41.0,9
price,22.0,9
weight,19.0,9
getsort,11.0,9
zillow,5.0,9
