text,size,topic
execute,2046.0,5
dofilter,2043.0,5
prepare,2033.0,5
handlerequestbody,2024.0,5
handlerequest,2020.0,5
run,2000.0,5
getparser,1970.0,5
init,1891.0,5
extractsearchareas,1884.0,5
createparser,1872.0,5
solrexception,1274.0,5
parameters,1221.0,5
geospatial,1221.0,5
required,1221.0,5
readjavaformatstring,609.0,5
empty,592.0,5
parsedouble,592.0,5
string,546.0,5
numberformatexception,532.0,5
getid,77.0,5
parselocalparams,77.0,5
parsefloat,17.0,5
getlocalparams,6.0,5
rent,5.0,5
status_s:"for,5.0,5
blocked_i,4.0,5
unknown,1.0,5
