text,size,topic
parse,1229.0,7
more,1125.0,7
handlerequest,722.0,7
handlerequestbody,715.0,7
dofilter,703.0,7
run,691.0,7
execute,691.0,7
prepare,671.0,7
getquery,617.0,7
clause,615.0,7
toplevelquery,608.0,7
query,606.0,7
cannot,525.0,7
parseexception,521.0,7
getbooleanquery,487.0,7
add,487.0,7
set,487.0,7
maxclausecount,487.0,7
toomanyclauses,487.0,7
booleanquery,487.0,7
sortablestr,92.0,7
int,92.0,7
fillcache,24.0,7
incrementtoken,24.0,7
spatial,1.0,7
type,1.0,7
getqueryplugin,1.0,7
overseas,1.0,7
